index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,school_holiday,state_holiday_0,state_holiday_a,state_holiday_b,state_holiday_c,sales
272371,415,7,01/03/2015,0,0,0,0,True,False,False,False,67.62607
558468,27,7,29/12/2013,0,0,0,0,True,False,False,False,18.937664
76950,404,3,19/03/2014,657,1,1,0,True,False,False,False,6816.537
77556,683,2,29/01/2013,862,1,0,0,True,False,False,False,6550.5244
456344,920,3,19/03/2014,591,1,1,0,True,False,False,False,6063.9385
436466,758,4,26/06/2014,569,1,0,0,True,False,False,False,4393.635
646251,563,1,16/02/2015,321,1,1,0,True,False,False,False,3676.5776
650464,930,6,22/11/2014,1367,1,0,0,True,False,False,False,7538.146
162710,756,4,04/06/2015,0,0,1,0,False,True,False,False,251.88156
100327,49,2,13/01/2015,546,1,1,0,True,False,False,False,6918.753
374540,787,4,23/07/2015,968,1,0,1,True,False,False,False,8153.304
399143,782,4,19/09/2013,472,1,0,0,True,False,False,False,4221.869
44740,897,7,20/04/2014,0,0,0,0,True,False,False,False,5.2431617
674144,933,1,09/12/2013,965,1,0,0,True,False,False,False,7096.7046
81595,218,2,07/04/2015,804,1,0,1,True,False,False,False,6419.421
416724,554,3,09/10/2013,499,1,1,1,True,False,False,False,5363.716
632687,362,1,12/08/2013,1337,1,1,1,True,False,False,False,12379.014
351899,655,3,09/04/2014,560,1,0,0,True,False,False,False,4983.022
515940,785,3,31/12/2014,461,1,0,1,True,False,False,False,4117.453
567411,690,3,19/03/2014,866,1,1,0,True,False,False,False,8016.725
274598,1103,7,15/02/2015,0,0,0,0,True,False,False,False,8.087811
417880,431,1,02/06/2014,1367,1,1,0,True,False,False,False,12871.09
453710,127,2,24/09/2013,642,1,1,0,True,False,False,False,7349.4507
597622,579,5,29/03/2013,0,0,1,1,False,False,True,False,-134.44194
223346,248,6,03/08/2013,1139,1,0,0,True,False,False,False,8771.84
630018,962,6,11/01/2014,0,0,0,0,True,False,False,False,266.58655
355860,224,2,26/03/2013,515,1,1,1,True,False,False,False,6598.018
360080,208,3,19/06/2013,355,1,1,1,True,False,False,False,3021.0806
129544,401,1,30/03/2015,1063,1,1,0,True,False,False,False,10661.291
422545,503,7,29/09/2013,0,0,0,0,True,False,False,False,145.72118
174199,221,4,05/03/2015,562,1,1,0,True,False,False,False,5301.5493
118613,268,7,02/11/2014,0,0,0,0,True,False,False,False,-104.46762
60310,799,2,27/08/2013,927,1,1,1,True,False,False,False,9778.153
328458,260,6,25/10/2014,894,1,0,0,True,False,False,False,7487.6543
200661,1041,2,10/03/2015,594,1,0,0,True,False,False,False,5156.1675
179581,350,2,18/06/2013,533,1,1,0,True,False,False,False,6888.234
587612,286,7,05/04/2015,0,0,0,0,True,False,False,False,42.624924
320169,620,2,04/06/2013,709,1,1,0,True,False,False,False,7551.9473
37194,521,1,17/06/2013,484,1,1,0,True,False,False,False,5919.576
685427,649,4,27/11/2014,435,1,1,0,True,False,False,False,4318.69
125422,1059,2,02/06/2015,1239,1,1,0,True,False,False,False,10070.83
24499,486,6,28/06/2014,373,1,0,0,True,False,False,False,3344.6543
281806,252,4,17/10/2013,642,1,0,0,True,False,False,False,7135.271
540511,656,3,15/05/2013,421,1,1,0,True,False,False,False,4144.607
28689,642,5,12/09/2014,394,1,0,0,True,False,False,False,3358.1475
165066,655,5,08/05/2015,761,1,1,0,True,False,False,False,7460.495
555963,992,3,26/06/2013,627,1,0,0,True,False,False,False,5488.8184
610614,143,2,02/06/2015,731,1,1,0,True,False,False,False,7263.7705
64013,421,5,18/07/2014,941,1,1,1,True,False,False,False,8605.022
30639,246,4,02/10/2014,1157,1,1,0,True,False,False,False,9544.813
418604,960,1,28/04/2014,720,1,1,0,True,False,False,False,8010.974
468037,313,5,17/01/2014,697,1,0,0,True,False,False,False,6869.9326
271589,291,6,29/06/2013,534,1,0,0,True,False,False,False,5381.1245
77924,924,6,31/05/2014,333,1,0,0,True,False,False,False,3232.7112
247149,337,2,13/08/2013,430,1,1,1,True,False,False,False,5323.693
576822,1024,4,12/03/2015,607,1,0,0,True,False,False,False,4667.787
108538,56,3,22/01/2014,402,1,1,0,True,False,False,False,5881.5977
645670,507,3,09/04/2014,532,1,0,0,True,False,False,False,4944.1084
601663,970,5,15/03/2013,406,1,0,0,True,False,False,False,3001.4644
502588,846,2,23/06/2015,828,1,0,0,True,False,False,False,6407.1484
66732,549,3,27/08/2014,582,1,0,0,True,False,False,False,5090.7637
627113,1095,4,28/03/2013,852,1,1,1,True,False,False,False,7713.4634
691184,859,5,12/04/2013,709,1,1,0,True,False,False,False,6528.166
467913,914,2,29/07/2014,1178,1,1,1,True,False,False,False,10956.545
304890,888,2,23/06/2015,634,1,0,0,True,False,False,False,5712.9883
274018,442,2,04/11/2014,517,1,1,0,True,False,False,False,5509.5845
644430,34,6,09/03/2013,905,1,0,0,True,False,False,False,7540.231
669009,199,4,10/07/2014,581,1,0,0,True,False,False,False,5611.2305
518722,854,4,04/06/2015,657,1,1,0,False,True,False,False,5153.154
505976,611,2,21/01/2014,485,1,1,0,True,False,False,False,6290.1416
291572,808,4,09/04/2015,528,1,0,1,True,False,False,False,5856.757
39071,1105,4,22/01/2015,410,1,0,0,True,False,False,False,4207.877
319154,866,5,24/04/2015,445,1,0,0,True,False,False,False,5112.2695
166603,222,6,28/09/2013,367,1,0,0,True,False,False,False,2954.7512
428262,476,2,24/09/2013,753,1,1,0,True,False,False,False,7402.014
20314,800,1,26/05/2014,494,1,0,0,True,False,False,False,4691.4043
603091,330,1,24/03/2014,408,1,0,0,True,False,False,False,3777.8643
500421,507,3,07/01/2015,648,1,1,0,True,False,False,False,6983.128
388016,98,7,02/06/2013,0,0,0,0,True,False,False,False,4.8273773
268257,1026,2,28/01/2014,1044,1,0,0,True,False,False,False,7480.281
216326,990,5,04/10/2013,719,1,0,0,True,False,False,False,6414.7393
40755,8,6,10/01/2015,345,1,0,0,True,False,False,False,2938.6775
8654,611,3,31/07/2013,566,1,1,1,True,False,False,False,6384.3574
37301,257,2,13/08/2013,777,1,1,0,True,False,False,False,7442.743
485623,840,4,16/04/2015,1189,1,1,0,True,False,False,False,12602.308
214073,848,5,31/07/2015,998,1,1,1,True,False,False,False,8841.848
406145,124,6,12/07/2014,297,1,0,0,True,False,False,False,2438.5676
397642,1028,2,31/12/2013,438,1,0,1,True,False,False,False,3976.8423
273960,95,2,24/09/2013,1099,1,1,0,True,False,False,False,10167.985
12104,208,1,28/10/2013,323,1,0,0,True,False,False,False,2480.4822
361202,249,2,08/07/2014,449,1,0,0,True,False,False,False,4512.562
79347,887,3,20/03/2013,614,1,1,0,True,False,False,False,6475.3027
462803,73,1,28/04/2014,601,1,1,1,True,False,False,False,7178.3643
141713,13,4,02/04/2015,501,1,1,1,True,False,False,False,5660.6094
703618,1049,2,03/09/2013,580,1,0,1,True,False,False,False,5368.7173
308360,144,4,05/02/2015,769,1,1,0,True,False,False,False,8182.3823
317995,847,3,14/08/2013,1018,1,1,1,True,False,False,False,9356.17
364408,796,3,08/05/2013,717,1,0,0,True,False,False,False,6609.0
27886,396,4,11/06/2015,1139,1,0,0,True,False,False,False,9118.886
706814,1080,7,15/09/2013,0,0,0,0,True,False,False,False,-12.4111805
514516,675,5,26/09/2014,338,1,0,0,True,False,False,False,3170.1118
577373,1099,1,01/12/2014,1236,1,1,0,True,False,False,False,13098.38
190561,791,1,11/05/2015,858,1,0,0,True,False,False,False,7378.356
